,comments,score,sentiments
2475,Ya kan emang rezim jokowi feat prabowo itu rezim mafia melebihi rezim firaun..😂😂😂,1,positive
2476,Mamam tuh jawa,-1,negative
2477,"Tanya aja bang sama mantan kenek dari timur itu..
D",-1,negative
2478,"Berkoar koar sudah tak ada arti,betapa sakit hati ini lihat kelakuan pemerintah yg arogan terhadap negri ini.tanpa memperdulikan kehidupan penerus di kemudian hari.di mulai dari barat,kini merambah sampai ke ujung timur rusak sudah alam indonesia..ayolah rakyat indonesia,hanya bicara,orasi sdh tdk ada guna.",-1,negative
2479,gila ya sampai destinasi wisata dan cagar alam yg harus nya di budidayakan ini di rusak dg cara eksplorasi tambang,-1,negative
2480,"Si bahlul malah pura pura ga tau, malah bilang ada pihak asing. Aneh lucu negara ini. Pejabatnya pintar bohong. 
Izin sejak era mulyono. Bahlul pura pura bisu",-1,negative
2481,"Kalau k4lian k4um g4s 58 
G4k pantes dan g4k l4y4k kalian m4rah !",-1,negative
2482,"Ulah manusia² busuk, rakyat papua cuma dpt sampahnya, stop....jgn sampe raja ampat rusak",-1,negative
2483,"Pemerintahan dan Kabinet JOKOWI PERUSAK NEGERI...

PENJARAKAN BAHLIL...",-1,negative
2484,Jelas sema menikmati hasil tambang .cuma rakyat kecil yg tidak dapat apa2,-1,negative
2485,Tanya Mulyono,-1,negative
2486,"Gitulah Negeri Konoha, Kena Uang Diam Semua😂😂",-1,negative
2487,Setuju bang harus di cari tuh orang2 nya ngerusak alam & lingkungan rakyat nya malah ga ada yg sejahtera..padahal raja empat sudah masuk alam yg harus di jaga..,-1,negative
2488,Tanya bahlil,-1,negative
2489,"Makanya angkat imamul mujahidin habib rizieq syihab menjadi pemimpin tertinggi di negri ini. Di jamin emas nikel dan seluruh kekayaan negri ini akan kembalikan untuk sejahterakan rakyat, bukan cum a Papua, Flores,maluku, jawa dan seluruh Indonesia. 
Habisi OPM piaraan Inggris dan Amerika, yang setiap hari ngeruk dan maling emas Papua. 
Moga pak prabowo beri kekuatan untuk mengambil alih Freeport adn aset strategis lain di Indonesia yang di maling asing.",-1,negative
2490,"#Save_RajaAmpat_PAPUA 
#SAVE_RajaAmpat_PAPUA
#SAVE_RajaAmpat_PAPUA 
🙏🏻🙏🏻😭😭🙏🏻🙏🏻",-1,negative
2491,Yg kasih izin ya mentri esdm.bahlil otak kosong.,-1,negative
2492,Pejabat papua byk yg korupsi jg sahabat...,-1,negative
2493,Viralkan,0,neutral
2494,Biadap biadab biadab beneran ga beradap tamak serakah rakus...,-1,negative
2495,"bener bang ngak usah ada pemilihan anggota dewan dpr atau yang lain. sakit melihat raja ampat sampai di obrak abrik. emang udah waktunya ngak usah bayar pajak dan pemilu lagi, kalo hasil nya kaya gini. rakyat milih percuma pejabat ngak amanah dengan rakyat",-1,negative
2496,Bubarkan saja pemerintah rakus kali binatang yang bernama manusia ini,0,neutral
2497,tuh luhut tuh,0,neutral
2498,"Yg  Dibanggakan  Pejabat  pejabatnya "" KORUPTOR  kls  Tingkat  Angkasa",0,neutral
2499,Jangan lupa banyak artis & suaminya yg rata2 kaya pendapatannya dr hasil tambang juga,-1,negative
2500,Itu permainan elit bang demi sesuap nasi sang rakus yg berjiwa penjilat 😢,0,neutral
2501,Siapa lg klo bukan grombolan si PKI laknat,-1,negative
2502,"Betul adik semua itu penghsilng dri timur ,ko cumn di buat  pembngunn di Barat aj,bhkn di perkaya pejabat sekelompok aj",-1,negative
2503,Pantasan bahlil di pertahankan,1,positive
2504,"Membangun Indonesia  ❎️
Membangun jaua  ✅️",1,positive
2505,Di ACC KRN BJINGAN MEREKA,0,neutral
2506,👍👍👍,0,neutral
2507,"Bang... kit harus jujur bang. Sistem ini rusak. Dan kita harus jujur dan juga kita belajar hanya aturan Islam lah yg benar2 adil. Klo emang mau keadilan hadir di Indonesia
Pakai aturan Islam!
Islam, non Islam, barat timur
Sama saja dimata hukum!",-1,negative
2508,Viral kan !,0,neutral
2509,"Emang indo sudah jadi boneka barat.
Akui aja jangan di plesetkan 😓🥲",-1,negative
2510,Terus gedor bg.,-1,negative
2511,"Ayolah lawan mafia di negeri ini termasuk yang ada di pemerintahan, yang bikin negara kita rusak, pemerintah itu harusnya melestarikan, anjing emang mafia",-1,negative
2512,Ijin keluar di era mulyono,-1,negative
2513,"😭😭😭 gw bagian barat, kalbar tapi hasil bumi kita juga di kerok abissss lahan sawit lebih dari juta hektar,  tp ga ada manfaatnya buat daerah kami , tambang emas, bouksit ampe tanah bolong² bekas tambang ga ada manfaat buat daerah kami selain tambah panas dan kering bahkan uang hasil tambang dan sawit ga beredar disini",-1,negative
2514,"Infonya gub dan pejabat terkait di papua ga setuju tp apa daya pusat pdsaat presidennya jokowi tetap ngotot membuka tambang tsb, perizinan dipermudahaan utk pembukaan tambang jadi kacau skrng",-1,negative
2515,"Mungkin ini sumua krn negara banyak hutang 
Imbasnya kekayaan alam mau dikeruk habis2an , buat nutupin hutang.

Daripada mengeruk sumber kekayaan alam yang bisa merusak lingkungan 
Lebih baik itu yg korupsi sita harta bendanya semuanya.
Buat nutupin hutang",-1,negative
2516,"Tanyak prabowo Bos , tidak mungkin kepala negara tidak mengetahuinya .",-1,negative
2517,Coba geser k morowali bang,-1,negative
2518,Betul bang apa kata mu .....merusak alam itu bang ...pengusaha yg makin kaya ... rakyat yg menderita ....,-1,negative
2519,"Penguasa males, bisanya jual aset dan menikmati fasilitas doang",-1,negative
2520,Bukan untuk pembangunan wwilayah indonesia barat untuk memuaskan kerakusan yg datang dr wilayah barat,-1,negative
2521,Betul bang.. Gw yg tinggal dibarat merasakan ketidak adilan...,-1,negative
2522,Ini dr atas sampai bawah pasti terlibat..,0,neutral
2523,Kemungkinan besar itu emas bukan nikel,-1,negative
2524,Hancur alamnya masy. Miskin,-1,negative
2525,"Wah,jangan2 nnti selain raja ampat....mulai ngelirik ke daerah yg lain...",-1,negative
2526,BENER SEKALI,-1,negative
2527,"Selamat menikmati warga 62 era lanjutan KING OF THE DECEIVER. 
Jangan mengeluh .........zoss
Siapa yang bodoh hayooooo......?????",-1,negative
2528,Bahlul,-1,negative
2529,Bajingan2 itu merusak negriku....,-1,negative
2530,"kasihan papua, diambil freeport, raja ampat, uang nya diambil untuk pejabat2 dan papua tidak dapat apapun di wakanda",-1,negative
2531,Makanya pilih pemimpin yg bener..cuman orang timur milih nya seperti Jokowi,-1,negative
2532,Siluhut,0,neutral
2533,Yang Indonesia TIMUR dapatkan KEHANCURAN ALAM !!!,-1,negative
2534,"Kerucutnya raja jawa yg merusak Indonesia timur hasilnya untuk mereka,,",0,neutral
2535,Semua. Ini. Karna. Ambisi. Setakat. ❤❤❤tidak. Memikirkan. Masa. Depan. Anak. Cucung. ❤,1,positive
2536,Save Aceh save papua,1,positive
2537,Keserakahan pejabat biadab .,-1,negative
2538,Pembangunan untuk jakarta dan lainnya .  Kamu merasa dijajah indonesia barat . Menentang pemerintah kamu ini . Memang indonesia timur itu tertinggal  beda sama indonesia barat  dan tengah,-1,negative
2539,Ya benar dibawa kebarat pusat ibukota dijakarta . Kalau ibukota ditimur dibawa ketimur,1,positive
2540,Eh sembarangan lu Indonesia barat juga yg nikmati oknum masyarakatnya sama aja kayak Indonesia timur jgn nyolot lu,1,positive
2541,"Yng penting dpt uang tak peduli alam rusak. Semua pr pemimpin mulai presiden luhutdan turunannya yng ada diotaknya uang2
Mau investor bawa pekerja dr cina terserah tak peduli rakyatnya pd nganggur itulah 10 th rakyat di bodohi dng bansos terus  sekarang baru nyadar",-1,negative
2542,Ya Alloh cabut nyawa 2 yg menzolimi,0,neutral
2543,"kita buat aja negara masing2,,sumatera,Jawa,Kalimantan,papua.",1,positive
2544,Merdeka aja Jaya Pura semua asil mmg betul di  rampok oleh Infonesia Barat,-1,negative
2545,jokowiii koplakkk,0,neutral
2546,Hentikan,0,neutral
2547,"Nickel untuk jadi salah satu bahan baku bikin baterai kan?, klo gini ceritanya kendaraan listrik bukan solusi tp cuma tambah masalah baru, dan mobil bbm juga bermasalah sama polusi dan biayanya.
Saya rasa kita memang harus merubah gaya hidup, tanpa sadar alat2 yg kita pakai dr awal pembuatan sampai akhirnya dibuang berdampak besar sama lingkungan, saya sadar anak2 dimasa depan akan terima tanah air yg sudah kotor oleh sampah besar dan sampah yg kecil sekali(ini masalah serius), setidaknya kita semua sadar dulu sama dampaknya",-1,negative
2548,"Ternak Mulyono harus bertanggung jawab, #setopbayarpajak",-1,negative
2549,Cek opung...,-1,negative
2550,Mudah mudahan mereka yg terlibat dalam perusakan alam di raja Ampat mampus semua,-1,negative
2551,pki n komunis saling kerjasama 10 th programnya jual semua hasil alam indonesia k oligarki jokowi tinggal kumpulin uangnya u byr ternak n buzzer,0,neutral
2552,"Ayolah rakyat jangan diam aja, lingkungan rusak buat apa , hanya penjajahan.. kami dr barat jg ga suka sama sekali ke rakyat kecil ga ada dampaknya sm sekali...",-1,negative
2553,masih aja pemimpin yg memudahkan pengerukan tambang.. dan merusak alam hanya karena nikel  ... untuk perusahan mobil listrik  dan kembali dijual ke sini...,-1,negative
2554,Yg ngasih ijin fix MULYONO,-1,negative
2555,Entah azab apa yg akan didapat pemerintah konyol kelak 🤦🏻‍♂️,-1,negative
2556,Ayo masih bangga kamu dengan jokowi ....wilayah dan alam.kita di jual dam.diam lagi....dan jamgan harap bisa di hentikan. Karna sudah di beli,0,neutral
2557,Udah pasti jaman mulyono,0,neutral
2558,MEGA PROYEK RAWAN KASUS KORUPSI,-1,negative
2559,Pengalihan isu ijazah... Akan di munculkan hal2 seperti ini!!!!!,-1,negative
2560,Asli bener bang. Bloooook goblok,-1,negative
2561,Rajabjawa dan mahapatih bataknya...,0,neutral
2562,"Kami juga cinta & respek sama daerah timur bro !  kata siapa buat mbangun Indonesia barat ?!   jangan MENGADU barat & timur !   liat siapa yg MAIN & kaya raya ?!
Cek dululah .... !  itu udah bisa bilang sendiri PEMERINTAH  indo barat !    lah emang gubernur & bupati Indo barat bisa ngeluarin ijin buat daerah timur ?! 😂 ini bentuk cinta anda ? 🤕",-1,negative
2563,Duit Semua Gara Gara duit  DUIT,-1,negative
2564,"Kasihan ,ini punya kalian , jgn diem sajalah",-1,negative
2565,Kerakusan tanda tidak ada adab,-1,negative
2566,"Itu yang viral baru raja Ampat,belum lagi di Morowali sulawesi",-1,negative
2567,Betul bang ...raja Ampat seharusnya hutannya jangan sampai di korek..karna raja Ampat tempat wisata dunia nomor dua Indonesia...stop sudah perusahaan ini karna cuma merusak alam dan rakyat masih tetap menderita..,-1,negative
2568,Yang ngijinin wiwi dengan gengnya luhut gak pernah mikir yg penting cuan,-1,negative
2569,Pemerintahan ini penjahat..,0,neutral
2570,lah kmaren yg pilih si omon2 dan samsul siapa? dan bahlul jg org sono,-1,negative
2571,Gara gara mobil listrik,-1,negative
2572,Prabowo yg kasih izin,-1,negative
2573,Penjarakan boss,0,neutral
2574,Pembangunan harus berasaskan perlindungan alam dan kelangsungan hidup bukan kenikmatan sesaat,-1,negative
2575,Masyarakat harus lawan keluarga mulyono mereka yg menghancurkan indonesia,-1,negative
2576,"jadi paham kn ,knp org papua minta merdeka? mereka/ masyarakat tdk merasakn hasil alam nya sendiri yg merasakn hanya org di daerah jakarta/ pejabat papua yg rakus? # save raja empat!!!",-1,negative
2577,"Saya suku asli melayu borneo tidak suka pemerintah sewenang-wenang dgn lingkungan hidup beserta penduduk sekitarnya karena merusak situs wisata, kalau mau cari tempat lain silahkan yg aman dan jauh dari itu... begitu mirisnya otak pejabat lemah SDMnya tidak bisa berpikir ke depan untuk pelestarian alam hingga ke anak cucu",-1,negative
2578,Kau nikmati saja lah hasil dari pilihanmu mendukung jokowi dan prabowo..bkn kan di sana mereka menang telak...,-1,negative
2579,Pa Prabowo knp kok dibiarkan Pecat pak pejabat2 yg serakah ini .pejabat dr bawah sampai atas yg ngijinin pertambangan ini,-1,negative
2580,"bro ingat kapan indonesia akan maju jika setiap ada projek yang memajukan indonesia pasti dihentikan contohnya dulu saat hutan papua ingin di ubah menjadi pohon sawit untuk memajukan keuangan indonesia blok, nanti pas inflasi protes ke pemerintah",-1,negative
2581,Saat nya rakyat bergerak save ecosystem indonesia 🇮🇩,1,positive
2582,"Lha Mentri esdm sdh dari timir itu , bahlil",-1,negative
2583,"bro ingat kapan indonesia akan maju jika setiap ada projek yang memajukan indonesia pasti dihentikan contohnya dulu saat hutan papua ingin di ubah menjadi pohon sawit untuk memajukan keuangan indonesia blok, nanti pas inflasi protes ke pemerintah, mereka bukan jahat",-1,negative
2584,"Pangkal dosanya adalah presiden.
Krn presiden penguasa tertinggi no1.",1,positive
2585,Orang orang diatas itu kerjanya hanya baku tipu rame saja....,-1,negative
2586,Kehancuran sesuatu umat atau bangsa sesuai dengan kerusakan akhlak dan moralnya Kalau sudah sampai di puncaknya di mana orang tidak mengindahkan lagi mana yang baik dan tidak baik sudah berbuat sewenang wenang maka datanglah masa kehancurannya yang tidak dapat di tunda tunda lagi Suatu bangsa berdiri selama baik akhlak dan moralnya Jika akhlak dan moralnya sudah binasa hancurlah semua,-1,negative
2587,Pejabat aslinya begal yg legal,-1,negative
2588,Siapa LG KLO BKN Mulyuno,-1,negative
2589,Para manusia anjing ngerusak alam,0,neutral
2590,KELAKUAN SI LBP DAN BAHLUL DITAMBAH WIWI MERUSAK ALAM,-1,negative
2591,JD gmn bang  petisi ja kt Bantu papua,-1,negative
2592,"Sakit banget hatiku,harta kita semakin lama hilang😭😭😭",-1,negative
2593,Mulyono dan kroni nya,-1,negative
2594,Izin tambang itu dari pusat bukan kewenangan pemerintah Daerah dan hasilnya juga 80% untuk pusat dan sisanya untuk provinsi dan di bagi lagi ketiap kab / kota. Alam rusak di daerah tetapi dipusat menikmati hasilnya.,-1,negative
2595,Wowo ngapain kerjanya,0,neutral
2596,"Percuma teriak2 di Indonesia yg jd pemimpin juga ttp yang duitnya paling banyak! Mungkin semua akan lebih baik kalau gibran yg jadi presidennya, anda semua bayangkan mulai dari sekarang!",-1,negative
2597,"Udah bener bang, merdeka adalah solusi tepat, papua pisah dengan indonesia",-1,negative
2598,Kamana pak prabowo katAnya tegassssssssss??????,-1,negative
2599,Tanya Bahlil,-1,negative
2600,"Pilih pemimpin yg Baik.. Cerdas. Amanah. 
Sadar kapan lagi kita mau maju . Kekayaan Alam dikeruk oleh mereka yg berkuasa.",-1,negative
2601,Dikorupsi bung....klu tuk rakyat dah makmur,0,neutral
2602,Tdk ada cara laen kecuali..perang..,-1,negative
2603,Makanya mereka ingin merdeka...,0,neutral
2604,Buat modal 2029,0,neutral
2605,Yg beri izin siapa.. dia pun harus ikut bertanggungjawab atas kerusakan alam seperti kasus PT Timah.. Jangan tebang pilih dalam penegakan hukum.. Ini menyakiti hati rakyat..,-1,negative
2606,MANTAN YG CAWE CAWE😂😂😂,1,positive
2607,demi 9 nada dan aguan apapun akan dilakukan oleh oligarki,1,positive
2608,"Molyono menjual tanah , laut , gunung , sungai , hutan,  rusak alam Indonesia gara"" rezim molyono, Prabowo menangung getahnya",-1,negative
2609,"Yaaa nikmati saja hasil kerja bos yg dibanggokan.
Kan masyarakat.bangga dengan pemimpin jaman konoha 10thn seblumnya😂😂😂",1,positive
2610,Malingnya bang ..😂,1,positive
2611,"itu sdh berlangsung lama.
BAHLIL ternak mulyono, perusak lingkungan & menyengsarakan rakyat",-1,negative
2612,"Langsung dari pusat yg ACC ,bupati gak dilibatin dari berita yg saya baca",1,positive
2613,"Ijin terbit pada tahun 2017..!!!
Siapa diaa..???🤣🤣🤣",1,positive
2614,​ @johnpaijo6801  MUNGKINKAH RAJA JAWA MULYONO 😬😬😬,-1,negative
2615,"Sabar2 prabowo menoa menyingkirkan mentoring titipan jokowi , masih terlalu kuat mentoring jokowi karena ada gibran , inshaAllah kalo ada waktu nya indonesia akan makmur di pimpin oleh pemimpin  yg Adil dan jukur",-1,negative
2616,Siapa pemilik perusahaan tanbang nya,1,positive
2617,Usut tunras sadara2ku jng takut demi kebaikan negri kita itu ulah otak2 patah  buta hati gila cuan 👍❤️😇,-1,negative
2618,"Hey bung, Anda jgn kurang ajar! Anda blg yg dibanggain dr Indonesia cuma makanan dan alam... ?? Anda bung dari mana? Manusia Nusantara itu tak mau takabur merasa lebih tinggi dari yg lain, tp jg bkn berarti mudah direndahkan - apalagi ditiadakan. Tolong ralat pernyataan Anda di konten ini.",-1,negative
2619,"Negara ini sudah sekarat, akibat pemerintahannya sakit,..zombie....",-1,negative
2620,Tangkap dan pecat bahlul dan pihak yg tdk memiliki integritas pada Bangsa dan Negara.... ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,positive
2621,Pecat dan tangkap...Bahlil dan pihak yg tak punya integrasi... pada Bangsa dan Negara... ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,positive
2622,"ayo, orang Papua mari demo jangan rusak raja ampat",-1,negative
2623,Wajar jika mereka ingin merdeka.......,-1,negative
2624,"Bejaaaaaaaaaaaat,  save Rajaampat.",1,positive
2625,"sedih banget aku pas lihat alam se indah itu mau hancur karna tambang. 
SELAMAT NEGARA KALIAN MEMBERIKAN 1 LAGI ALASAN PAPUA UNTUK LEPAS 🙏",-1,negative
2626,SAVE RAJA AMPAT.,1,positive
2627,parahhhhgg,0,neutral
2628,Udah lama lho... google earth aja keliatan,-1,negative
2629,Saya setuju dan sepwndapat dgn anda lawan trs,-1,negative
2630,Ya di sini yg gw salahin kaum 58%. Udaj di ingetin pilih prabowo isi rezim mulyono.,-1,negative
2631,"Jangan protes broo,, kalau sukanya protes tinggal aja diluar negri sana...😂😂😂",-1,negative
2632,#timurrevolusi,0,neutral
2633,Negeri mafia,-1,negative
2634,Jokowi izin 2017,-1,negative
2635,"Pantas mereka ingin merdeka, karena pemerintah bangsat semua isinya",-1,negative
2636,"Dari timur kekantong pejabat negara bro,,saya sangaat setuju pemerintahan jahat",-1,negative
2637,"Di pemerintahan tipu tipu, yg Tolol idola naga 9 untuk menghancurkan alam dan kekayaan,, di jadikan tempat Penjilat pejabat serakah yg Rakus itulah penghianat ibu Pertiwi",-1,negative
2638,Bukannya mayoritas orang Papua pendukung mulyono,0,neutral
2639,"Tolong yg terhormat jenderal prabowo subianto,selamat kan raja Ampat pak,ya Allah menangis hati ini pak",-1,negative
2640,"Betul abang... Ak sebagai pencinta alam sangat marah akan hal ini, harus di hentikan tambang nikel. Save raja ampat",-1,negative
2641,58 tidak amanah,0,neutral
2642,Gmna mereka ga minta merdeka.orang negara juga ga adil dalam mensejahterakan rakyat nya sedang kan alam nya di keruk abis2an rakyat nya malah sengsara,-1,negative
2643,"Ok.
Kepala desa g mgkn g tahu
Camat apa lagi
Bupati apa lagi
Gubernur apa lagi
Mentri apa lagi .

Nah ini yang penting .
Yang teriak hidup jokowi g mgkn g tahu juga. Wkwkwkwkwwkwkwk


Tai memang ini waknda KKN NOMOR 1 DI DUNIA

SISTEM HUKUM PALING RUSAK DI DUNIA.

PERUSAK ALAM NOMOR SATU DI DUNIA..

DI INDONESIA HANYA SATU BISA DI BANGGA KAN TOLERANSI BERAGAMA DAN RAKYAT NYA MASIH TAAT HUKUM KALAU TIDAK SUDAH KAYAK BANGLADES KEJAR PEJABAT NYA",-1,negative
2644,Tangkap bahlul,-1,negative
2645,"Iya emg, aku aja bukan org timur jg ngerasa begitu, klo mereka mau pisah dri indonesia ya bukan salah mereka",-1,negative
2646,Prabowo lagi sakit mata.,-1,negative
2647,Jokodok sialan bikin susah rakyat...,-1,negative
2648,Bnr bro revolusi,0,neutral
2649,beginilah negara kita yg sangat rakus akan kekuasaan dan uang,0,neutral
2650,Semua dimulai dari mulyono . . . . .,-1,negative
2651,"Memang pantas  rakyat papua teriak...
Mereka hanya mo keruk kekayaan nya saja...paling penguasa ngmong negara asing mo adu domba teruuus...padahal mereka rakus keruk kekayaan papua...😊😊",0,neutral
2652,Eh jangan kayak gitu bang. Bukan indonesia barat ya. Lebih tepatnya PULAU JAWA. Kami di sumatera gak dapat hasil seperti di JAWA. Fasilitas kereta api cepat hanya di kota kota tertentu.,-1,negative
2653,Ada pemimpin maling,-1,negative
2654,Wajar daerah xx minta pisah ( merdeka),-1,negative
2655,presiden ny msih Joko Luhut. Bowo cuma boneka wara-wiri. mikir apa!!,-1,negative
2656,"kerusakannya belum sampai antartika, jadi santai aja, belum saatnya dikejar...",1,positive
2657,Tangkap Jokowi....semua kerusakan di Indonesia ulah dia yg serakah,-1,negative
2658,"Kepala daerah kakian lah yg memberi izin, yg penting cuan bagi mereka para kepala daerah",-1,negative
2659,Ramalan jaya baya indonesia bubar karna ulah ulah manusia zolim.,-1,negative
2660,Karna yg kuasai tambang pejabat2 juga utk pribadi,0,neutral
2661,Sama kayak di daerah lain,-1,negative
2662,Beneeerrrr pantesan mintak merdekaaa👍🙏,-1,negative
2663,Ijin nya ya jelas lah di era jokowi,0,neutral
2664,"Kribo goblok,itu semua gara2 ulah pemerintah yg lho bangga2in.",-1,negative
2665,Pak b4hLul,0,neutral
2666,"- ijin perusahaan terbit tahun 2013 oleh bupati raja Ampat
- Evaluasi UU lingkungan hidup tahun 2014
- ijin tambang terbit tahun 2017
- 2018 perusahaan tambang mulai beroperasi
(Pertanyaannya 2013-2025 kemana saja kok tidak kedengaran utk protes tambang saat beroperasi)",-1,negative
2667,"Mantan presiden, wakil presiden yg skr, Bahlil yang bahlul , juga paman LBP",-1,negative
2668,Banyak gaya buka tambang nikel tapi ngoloh nya gkbisa. Demi negara lain,-1,negative
2669,Salah bang pemerintah  jahat nya bukan wilayah timur aja..wilayah kami dibarat juga sama aja..merataaa..,-1,negative
2670,"Pasti wiwi dan wowo mrka perusak di negri ini, smoga yg milih mrka cpt sadar dan taubat!",-1,negative
2671,"Jepang dan belanda: ""Hahahaha kasihan dijajah bangsa sendiri 😂☝️""",-1,negative
2672,Otomatis khususnya bekerja dengan baik 😅,1,positive
2673,Tmbang nikel raja ampat sejak 2017,0,neutral
2674,"Izinnya tambangnya terbit tahun 2017 dan jokowi 2017 kunjungan ke 2 ke raja ampat, cek di ulasan video yang ada dichannel saya ini",-1,negative
2675,"BUPATI, GUBERNUR, SUDAH JELASSSS ITU",-1,negative
2676,Mereka adalah hewan yang sedang bagi bagi makanan,-1,negative
2677,Tau sendiri rempang juga gmna zokowi gtu loh buta mata buta hati,-1,negative
2678,"​ @Janeponto2 
Produk tambang Raja Ampat di ajukan oleh Pemda (bupati) Raja Ampat
Pembahasannya itu sejak jaman SBY,
Ini masalah komplit, yg terlibat pasti mulai dari Pemda, DPRD, DPR & Pemerintah pusat.
Pasti semua udah dapat amplop, jadi tambang ini proses usulan sampai skarang (±15 thn) tidak terdeteksi masyarakat & LSM",-1,negative
2679,Yang kasi izin ya pemerintah kok tanya saya. Emang bisa nambang tanpa izin,-1,negative
2680,Content kreator nya siapa ya namanya?,0,neutral
2681,"Paling kerjaan luhut ..
Orang tua itu memang gak ada otaknya",-1,negative
2682,"Lahan sawit di mana2 tambang di segala penjuru tapi dari tahun ke tahun sama aja sudah cukup kami diam. Sa sebagai anak Papua merasa sedih dengan pemerintah Indonesia, kami bisa bangun tanah kami sendiri. Meski SDM KAMI RENDAH tapi kami tidak akan melakukan hal keji seperti ini. Hutan tempat main saat masih kecil sekarang jadi lahan sawit pemerintah dengan seenaknya mengklaim segalanya seakan akan tidak ada masyarakat adat yg menjaga dari dulu kami seperti anak tiri jujur sa kecewa sekali dengan pemerintah baik daerah maupun pusat. Jangan pikir uangnya saja pikir juga dampaknya.!!!!! 

Hal² seperti ini yang mendorong kami ingin MERDEKA ✊",-1,negative
2683,Save Raja Ampat,1,positive
2684,Gua paham skr papua ingin pisah dari indonesia karena pejabat indonesia banyak yang tamak,-1,negative
2685,Bg jangan bilang indo barat sama bg banyak yg miskin juga bilang pusat aja salah Abang bilang barat kami rakyat Kalbar nda gimana juga merasakan masih banyak jalan rusak,-1,negative
2686,GRUP BAHLIL GRUP MALING.,-1,negative
2687,"Gubernur dan bupati KENAPA DIAM.
Spot wisata koq di rusak???",-1,negative
2688,Biadab  itu  org  org   pejabatnya,-1,negative
2689,"Menterinya org timur yg suka bilang saya dari Papua, sampai dikritik nda usah pakai nama Papua oleh DPR ... Dialah yg merusak negrinya",-1,negative
2690,"Hacur,,,lah,,,negara,,,kita,,,kalau,,,beginini,,,,benar,,,bos",0,neutral
2691,Si bahlul,-1,negative
2692,MERDEKA ?,0,neutral
2693,Periksa Bahlil sama Mulyono,0,neutral
2694,Kata pak Wowo bocor bocor bocor😂😂😂,-1,negative
2695,"Hilang sudah alam terindah di dunia , karna keserakahan pejabatnya padahal Indonesia itu salah satu negara terindah di dunia dan raja ampat salah satu tempat yg membuat Indonesia indah , pejabat bobrok",-1,negative
2696,Bosku orang HK suka sekali ke raja Ampat untuk menikmati wisata alam yg indah,-1,negative
2697,Merdeka aja lu bang... Indonesia pemimpinnya ngebadut semua,0,neutral
2698,Keterlaluan memang kok pemerintah yg kasih ijin..,-1,negative
2699,zaman jokowi benar2 hancur bangsat.. rezim jokowi benar2 bangast.. gw doain semua yg terlibat 7 turunan dapat azab tuhan..,-1,negative
2700,Pemimpin dzhalim akan dilaknat oleh Allah SWT,1,positive
2701,"Tangkap semuanya presiden gubernur  ,bupati dan semua yg mengkeruk raja Ampat .",-1,negative
2702,negara melindungi segenap bangsa dan seluruh tumpah darah ..hoex,0,neutral
2703,Jogetin gemoy aja kuy,1,positive
2704,Betul juga bang tapi jgn salah juga saya pernah nonton di Deddy Corbuzier bahwa ada oknum pemerintah Papua yg korupsi. Jadi kemungkinan ada kerjasama dlm hal korupsi pemerintah pusat dan daerah.,-1,negative
2705,"kalo seluruh rakyat indonesia  kompak turun desak pemerintah yg mencla mencle, cepet kelar masalah ini ya walaupun harus ribut dulu gpp setidaknya siapapun yg jadi pemerintah bener mengabdi bukan karna gaji, masalahnya pemerintahan sampai saat ini kek oreo  diputer dijilat,, diputer puter kalo ada masalah sampai hilang (beritanya yg hilang, masalah tetep) 😂 dijalat biar dapat jabatan gaji ada kasus diem ketahuan saling lempar diputer lagi berita hilang muncul lagi diputer lagi siapa yg lemah kalah jadi tumbal",-1,negative
2706,Itu mungkin utk bayar hutang pemerintah dan program2 pemerintah krn lg kekurangan uang. Soal kerusakan alam belakangan.,-1,negative
2707,"Ini kan atas ide Mulyono. Wilayah Indonesia barat Rakyatnya juga sengsara bang pembangunan juga hanya untuk kepentingan pemerintah dan orang kaya.
Contohnya aja Rempang. bang,",-1,negative
2708,"PEJABAT YG AROGAN SEPERTI INILAH YG MENGAKIBATKAN NKRI BUBAR, KEKAYAAN ALAM DIKERUK, RAKYAT TETAP MISKIN, HUTANG NEGARA SEMAKIN MEROKET, YG NKRI BISA BUBAR NIH.",-1,negative
2709,Pantasan papua minta merdeka,-1,negative
2710,Pamtesan papua pengen merdeka,-1,negative
2711,😂😂 Prabowo LG jual negara,1,positive
2712,"PANTAS SAJA PAPUA INGIN MERDEKA SENDIRI
WAJARLAAAH PAPUA MERASA D ANK TIRIKAN",-1,negative
2713,bener banget bang. kasihan saudara2 di  Indonesia bagian timur. kekayaan alamnya dikeruk sebanyak2nya.,-1,negative
2714,"presidenmu bisa apa??
katanya presidenmu tegas😂😂😂 dr militer😂😂",1,positive
2715,"dibarat berkumpul orang2 tamak yg selalu kurang , segala cara dilakukan demi menumpuk harta karun yg tidak bisa dibawa mati.",-1,negative
2716,Kpn ya pemerintah yg betul² untuk rakyat....,1,positive
